flood_score,earthquake_score,wind_score,natcat_score
0.9,0.9,0.75237452943768,0.87
0.3,0.3,0.7915790437258485,0.4
0.9,0.3,0.7896181427945539,0.7
0.9,0.3,0.09120610304869037,0.56
0.3,0.3,0.49442030470258147,0.34
0.3,0.6,0.057558760016644284,0.34
0.9,0.3,0.5495288823237355,0.65
0.6,0.9,0.441530501373377,0.66
0.9,0.9,0.8877041827582998,0.9
0.9,0.3,0.3509150125520787,0.61
0.9,0.3,0.11706701642760586,0.56
0.9,0.9,0.14299168205283586,0.75
0.3,0.9,0.7615106317174722,0.57
0.9,0.6,0.6182180633162611,0.75
0.6,0.9,0.10112267612279024,0.59
0.3,0.6,0.08410680611499743,0.35
0.6,0.6,0.70096913145912,0.62
0.6,0.6,0.07276300636419353,0.49
0.6,0.6,0.8218600592903562,0.64
0.6,0.6,0.7062422271564962,0.62
0.3,0.3,0.08134878064189976,0.26
0.3,0.9,0.08483771408519192,0.44
0.6,0.6,0.9866395785011755,0.68
0.6,0.9,0.3742707957561203,0.64
0.3,0.9,0.3706421470668909,0.49
0.3,0.6,0.8127995672575026,0.49
0.3,0.3,0.9472485773838587,0.43
0.9,0.6,0.9860010638228709,0.83
0.9,0.3,0.7533781852589416,0.69
0.9,0.9,0.37625958553091576,0.8
0.6,0.3,0.08350071669866876,0.41
0.9,0.3,0.7771469159274368,0.7
0.6,0.3,0.558404249735805,0.5
0.6,0.9,0.4242220092469763,0.65
0.9,0.9,0.906354385094736,0.9
0.6,0.3,0.11119748230615134,0.41
0.9,0.3,0.49262510429085915,0.64
0.9,0.6,0.011353644767419069,0.63
0.3,0.3,0.46866064199412627,0.33
0.9,0.6,0.05630327568183735,0.64
0.3,0.3,0.11881791626807192,0.26
0.9,0.6,0.11752624677710488,0.65
0.9,0.9,0.6492103021160636,0.85
0.3,0.3,0.7460448792654233,0.39
0.3,0.3,0.5833687650971596,0.36
0.9,0.3,0.9621725484745419,0.73
0.6,0.3,0.37487057952370406,0.46
0.3,0.6,0.28571208628186073,0.39
0.6,0.3,0.8685991281894603,0.56
0.6,0.9,0.22359583851945264,0.61
0.6,0.9,0.9632225394406113,0.76
0.3,0.3,0.012154474689816341,0.24
0.6,0.9,0.969878826707639,0.76
0.3,0.3,0.04315991195057611,0.25
0.6,0.3,0.8911431136980711,0.57
0.9,0.9,0.5277011090862999,0.83
0.9,0.3,0.9929647961193003,0.74
0.3,0.9,0.07379656473539886,0.43
0.9,0.6,0.5538542844013208,0.74
0.9,0.3,0.969302535619099,0.73
0.6,0.6,0.5230978441701488,0.58
0.3,0.9,0.6293986381352625,0.55
0.6,0.6,0.6957486889846172,0.62
0.6,0.6,0.45454106476777323,0.57
0.6,0.9,0.6275580800840634,0.7
0.6,0.6,0.5843143119231002,0.6
0.6,0.6,0.901158010490989,0.66
0.6,0.9,0.04544638034145787,0.58
0.6,0.6,0.2809631895922303,0.54
0.3,0.9,0.9504114840765587,0.61
0.9,0.6,0.8902637838909163,0.81
0.6,0.9,0.45565675278571294,0.66
0.6,0.9,0.6201325978015367,0.69
0.6,0.6,0.2773811829811327,0.54
0.6,0.6,0.1881211597237613,0.52
0.6,0.6,0.46369840493998216,0.57
0.6,0.3,0.3533522280260528,0.46
0.9,0.3,0.5836561118508721,0.66
0.9,0.3,0.07773463696498484,0.56
0.6,0.9,0.9743948076661665,0.76
0.9,0.6,0.9862107444796029,0.83
0.3,0.9,0.6981617140197451,0.56
0.6,0.3,0.5360963663441204,0.5
0.3,0.6,0.30952761628632774,0.39
0.3,0.9,0.8137950197069487,0.58
0.6,0.6,0.6847311725538793,0.62
0.9,0.9,0.1626169393448913,0.75
0.3,0.6,0.9109271844938425,0.51
0.6,0.3,0.822537242923169,0.55
0.3,0.3,0.949799913291924,0.43
0.3,0.6,0.72571950838836,0.48
0.3,0.9,0.6134151959357899,0.54
0.3,0.3,0.4182430362906189,0.32
0.9,0.3,0.9327284833540133,0.73
0.3,0.3,0.8660638895004084,0.41
0.3,0.6,0.04521867010618941,0.34
0.3,0.6,0.026366974497252005,0.34
0.9,0.9,0.3764633668780496,0.8
0.3,0.9,0.8105533307818329,0.58
0.3,0.9,0.9872761293149445,0.62
0.9,0.6,0.15041689110352818,0.66
0.9,0.6,0.5941307153521351,0.75
0.9,0.9,0.3808908566310215,0.8
0.3,0.9,0.9699143978146032,0.61
0.9,0.6,0.8421189231357087,0.8
0.9,0.9,0.8383287047111379,0.89
0.3,0.3,0.4686931597949703,0.33
0.9,0.6,0.4148195023376652,0.71
0.3,0.9,0.27340707193070624,0.47
0.6,0.6,0.056375496650927115,0.49
0.9,0.3,0.8647223762550532,0.71
0.6,0.6,0.8129010091300776,0.64
